State,Index_code,Area_name, CLF14 , EMP14 , UNEMP14 ,URATE14, CLF15 , EMP15 , UNEMP15 ,URATE15, CLF16 , EMP16 , UNEMP16 ,URATE16, CLF17 , EMP17 , UNEMP17 ,URATE17, CLF18 , EMP18 , UNEMP18 ,URATE18,MHI17,MHI%ofState17
WV,4,"Braxton County, WV"," 5,230 "," 4,735 ", 495 ,9.5," 5,459 "," 4,972 ", 487 ,8.9," 5,494 "," 5,012 ", 482 ,8.8,5248,4855,393,7.5,"5,085","4,727",358,7.0,37762,87.3
WV,5,"Brooke County, WV"," 10,113 "," 9,378 ", 735 ,7.3," 10,083 "," 9,344 ", 739 ,7.3," 9,984 "," 9,280 ", 704 ,7.1,9769,9177,592,6.1,"9,822","9,219",603,6.1,50775,117.4
WV,6,"Cabell County, WV"," 42,160 "," 39,841 "," 2,319 ",5.5," 41,267 "," 39,023 "," 2,244 ",5.4," 41,232 "," 39,247 "," 1,985 ",4.8,41497,39616,1881,4.5,"41,287","39,332","1,955",4.7,38191,88.3
WV,7,"Calhoun County, WV"," 2,906 "," 2,623 ", 283 ,9.7," 2,760 "," 2,416 ", 344 ,12.5," 2,623 "," 2,286 ", 337 ,12.8,2405,2146,259,10.8,"2,417","2,165",252,10.4,33527,77.5
WV,8,"Clay County, WV"," 3,321 "," 2,959 ", 362 ,10.9," 3,270 "," 2,905 ", 365 ,11.2," 3,260 "," 2,922 ", 338 ,10.4,3148,2877,271,8.6,"3,113","2,850",263,8.4,34321,79.4
WV,9,"Doddridge County, WV"," 3,636 "," 3,454 ", 182 ,5.0," 3,641 "," 3,440 ", 201 ,5.5," 3,783 "," 3,587 ", 196 ,5.2,3885,3720,165,4.2,"3,968","3,810",158,4.0,44370,102.6
WV,10,"Fayette County, WV"," 16,617 "," 15,226 "," 1,391 ",8.4," 16,270 "," 14,874 "," 1,396 ",8.6," 15,980 "," 14,712 "," 1,268 ",7.9,15727,14724,1003,6.4,"15,785","14,770","1,015",6.4,38063,88.0
WI,0,Wisconsin," 3,081,543 "," 2,914,992 "," 166,551 ",5.4," 3,092,181 "," 2,951,483 "," 140,698 ",4.6," 3,125,311 "," 3,000,231 "," 125,080 ",4.0,3140410,3037453,102957,3.3,"3,133,294","3,039,295","93,999",3.0,59300,100.0
WI,1,"Adams County, WI"," 8,397 "," 7,655 ", 742 ,8.8," 8,330 "," 7,724 ", 606 ,7.3," 8,299 "," 7,799 ", 500 ,6.0,8257,7837,420,5.1,"8,209","7,822",387,4.7,44767,75.5
WI,2,"Ashland County, WI"," 8,053 "," 7,450 ", 603 ,7.5," 7,925 "," 7,429 ", 496 ,6.3," 7,971 "," 7,539 ", 432 ,5.4,7915,7554,361,4.6,"7,910","7,572",338,4.3,43784,73.8
WI,3,"Barron County, WI"," 24,073 "," 22,684 "," 1,389 ",5.8," 24,463 "," 23,241 "," 1,222 ",5.0," 24,401 "," 23,291 "," 1,110 ",4.5,24770,23900,870,3.5,"25,058","24,210",848,3.4,50940,85.9
WI,4,"Bayfield County, WI"," 7,543 "," 6,820 ", 723 ,9.6," 7,532 "," 6,904 ", 628 ,8.3," 7,551 "," 7,030 ", 521 ,6.9,7602,7206,396,5.2,"7,612","7,239",373,4.9,51120,86.2
WI,5,"Brown County, WI"," 138,429 "," 131,737 "," 6,692 ",4.8," 139,239 "," 133,568 "," 5,671 ",4.1," 141,443 "," 136,333 "," 5,110 ",3.6,143100,138897,4203,2.9,"143,673","139,748","3,925",2.7,61240,103.3
WI,6,"Buffalo County, WI"," 6,461 "," 6,098 ", 363 ,5.6," 6,536 "," 6,215 ", 321 ,4.9," 6,586 "," 6,292 ", 294 ,4.5,6599,6351,248,3.8,"6,652","6,423",229,3.4,55297,93.2
WI,7,"Burnett County, WI"," 7,369 "," 6,777 ", 592 ,8.0," 7,274 "," 6,764 ", 510 ,7.0," 7,192 "," 6,760 ", 432 ,6.0,7367,7010,357,4.8,"7,332","6,993",339,4.6,47727,80.5
WI,8,"Calumet County, WI"," 27,141 "," 26,006 "," 1,135 ",4.2," 27,461 "," 26,481 ", 980 ,3.6," 27,773 "," 26,883 ", 890 ,3.2,27978,27199,779,2.8,"27,919","27,204",715,2.6,72309,121.9
WI,9,"Chippewa County, WI"," 33,060 "," 31,280 "," 1,780 ",5.4," 33,152 "," 31,588 "," 1,564 ",4.7," 33,430 "," 32,008 "," 1,422 ",4.3,33539,32360,1179,3.5,"33,580","32,477","1,103",3.3,56678,95.6
WI,10,"Clark County, WI"," 16,967 "," 16,041 ", 926 ,5.5," 17,428 "," 16,665 ", 763 ,4.4," 17,567 "," 16,881 ", 686 ,3.9,18016,17465,551,3.1,"18,169","17,645",524,2.9,49718,83.8
WY,0,Wyoming," 305,970 "," 293,302 "," 12,668 ",4.1," 304,403 "," 291,295 "," 13,108 ",4.3," 300,732 "," 284,681 "," 16,051 ",5.3,292923,280689,12234,4.2,"289,574","277,820","11,754",4.1,61279,100.0
WY,1,"Albany County, WY"," 20,462 "," 19,757 ", 705 ,3.4," 20,655 "," 20,000 ", 655 ,3.2," 20,988 "," 20,315 ", 673 ,3.2,20465,19879,586,2.9,"20,307","19,639",668,3.3,44745,73.0
WY,2,"Big Horn County, WY"," 5,572 "," 5,322 ", 250 ,4.5," 5,563 "," 5,315 ", 248 ,4.5," 5,544 "," 5,268 ", 276 ,5.0,5359,5132,227,4.2,"5,257","5,011",246,4.7,50380,82.2
WY,3,"Campbell County, WY"," 26,223 "," 25,345 ", 878 ,3.3," 25,834 "," 24,810 "," 1,024 ",4.0," 24,427 "," 22,667 "," 1,760 ",7.2,23018,21897,1121,4.9,"22,821","21,883",938,4.1,78240,127.7
WY,4,"Carbon County, WY"," 8,429 "," 8,093 ", 336 ,4.0," 8,445 "," 8,129 ", 316 ,3.7," 8,369 "," 7,976 ", 393 ,4.7,7900,7584,316,4.0,"7,786","7,491",295,3.8,60634,98.9
WY,5,"Converse County, WY"," 8,329 "," 8,079 ", 250 ,3.0," 8,322 "," 8,015 ", 307 ,3.7," 7,883 "," 7,391 ", 492 ,6.2,7480,7147,333,4.5,"7,554","7,276",278,3.7,65469,106.8
WY,6,"Crook County, WY"," 3,707 "," 3,563 ", 144 ,3.9," 3,711 "," 3,581 ", 130 ,3.5," 3,742 "," 3,570 ", 172 ,4.6,3683,3554,129,3.5,"3,696","3,577",119,3.2,61664,100.6
WY,7,"Fremont County, WY"," 20,533 "," 19,513 "," 1,020 ",5.0," 20,265 "," 19,134 "," 1,131 ",5.6," 20,051 "," 18,607 "," 1,444 ",7.2,19347,18275,1072,5.5,"18,865","17,880",985,5.2,50134,81.8
WY,8,"Goshen County, WY"," 7,131 "," 6,875 ", 256 ,3.6," 7,086 "," 6,851 ", 235 ,3.3," 7,034 "," 6,790 ", 244 ,3.5,6922,6723,199,2.9,"6,830","6,604",226,3.3,51023,83.3
WY,9,"Hot Springs County, WY"," 2,483 "," 2,381 ", 102 ,4.1," 2,402 "," 2,301 ", 101 ,4.2," 2,427 "," 2,310 ", 117 ,4.8,2332,2241,91,3.9,"2,208","2,126",82,3.7,47775,78.0
WY,10,"Johnson County, WY"," 4,474 "," 4,273 ", 201 ,4.5," 4,206 "," 3,999 ", 207 ,4.9," 4,211 "," 3,985 ", 226 ,5.4,4195,4020,175,4.2,"4,211","4,043",168,4.0,55412,90.4
,,,,,,7.4,,,,,,,,,,,,,,,,,,

